분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,위도(X좌표),경도(Y좌표),유무료,문화포털상세URL
전시/미술,종로구,은가비 초대전 [PERSONA : Let yourself rest],2023-06-07~2023-06-26,"갤러리 인사1010 1관(6. 7 - 6. 12),  3관(6. 14 - 6. 26) ",기타,전연령 ,,은가비,은가비 초대전,,https://blog.naver.com/insa1010/223114670706,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fade3f408d024e398504970785c1b4fd&thumb=Y,2023.5.29,시민,2023.6.7 0:00,2023.6.26 0:00,기타,37.57398304,126.9856431,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141839&menuNo=200009
전시/미술,은평구,[2023 테마전시 책 따라 걷는 도서관] 6월 원화전시 - 숨바꼭질,2023-06-07~2023-06-21,3층 어린이열람실 및 로비,은평구청,누구나,,,,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=1714&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cda908266ed94cb7987de2d9187e92d4&thumb=Y,2023.6.7,기관,2023.6.7 0:00,2023.6.21 0:00,기타,37.582727,126.9075589,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141933&menuNo=200009
교육/체험,은평구,2023년 도서관 지혜학교 [현대시로 배우는 공감의 지혜],2023-06-07~2023-06-20,4층 문화강좌실,은평구청,성인 누구나 20명 내외,,,,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=1718&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=921116338c4b49a4b89e8a56628ae090&thumb=Y,2023.6.7,기관,2023.6.7 0:00,2023.6.20 0:00,기타,37.582727,126.9075589,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141937&menuNo=200011
기타,동작구,[동작문화재단] 2023 D-D-T 참여자 모집,2023-06-07~2023-06-19,동작문화재단,동작문화재단,동작구에 거점(거주/작업실/예술공방)을 둔 예술인/기획자/문화공간 운영자,,,,,http://www.idfac.or.kr/bbs/board.php?bo_table=notice&wr_id=203,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a621dc79d64a4af2879617262bfc2115&thumb=Y,2023.6.9,기관,2023.6.7 0:00,2023.6.19 0:00,기타,37.50749087,126.9598854,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141974&menuNo=200013
전시/미술,광진구,김영선 기획 초대전,2023-06-07~2023-06-18,세종대학교 대양 AI 센터 B2,광진구청,전체관람,,,,,https://blog.naver.com/ceo009/223120760543,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6dbb4eb163944824ba59d892baf12122&thumb=Y,2023.6.5,기관,2023.6.7 0:00,2023.6.18 0:00,기타,37.55079808,127.0745756,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141900&menuNo=200009
연극,종로구,"요새는 아무도 하려 하지 않는 [그, 윷놀이]",2023-06-07~2023-06-18,대학로 나온씨어터,서울문화재단,일반,"전석 30,000원","강일, 곽성은, 고병택, 이강민, 윤슬기, 정홍구",,,https://tickets.interpark.com/goods/23006050,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1b14f26d44984210939c7e67105bceac&thumb=Y,2023.5.22,시민,2023.6.7 0:00,2023.6.18 0:00,기타,37.57655541,127.002575,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141782&menuNo=200008
클래식,마포구, M 한국가곡 시리즈 [모던가곡 #.2 ORIENTAL],2023-06-07~2023-06-07,마포아트센터 아트홀맥,마포문화재단, 만 8세이상관람가능," 전석 20,000원","소프라노 김지현, 바리톤 박경준, 소프라노 첸위, 테너 쉬밍거, 엘렉톤 이효정, 피아노 김범준,비파 왕설","아리랑연가, 첫사랑, 삶이 그대를 속일지라도, 비목, 스페셜가곡(중국가곡) 등"," - 시리즈 2회차 <ORIENTAL> - 비파와 엘렉톤의 선율과 어우러지는 감미로운 한국가곡 시리즈, 그 두 번째 #2. ORIENTAL. “1990 TO 2000”",https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2184&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a5af0f91f0f142ae8f8103cdbf6dbed2&thumb=Y,2023.4.13,기관,2023.6.7 0:00,2023.6.7 0:00,기타,37.54990609,126.9455338,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141357&menuNo=200008
독주/독창회,종로구,김강호 피아노 독주회,2023-06-07~2023-06-07,세종체임버홀,세종문화회관,미취학아동 입장불가,"전석 20,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34127&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=227c49dcb2994bbb8fe00a15a6ea2132&thumb=Y,2023.6.1,기관,2023.6.7 0:00,2023.6.7 0:00,기타,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141876&menuNo=200008
전시/미술,마포구,그림이 좋은 사람들 11번째 전시 [일상의 미학],2023-06-06~2023-07-12,서울생활문화센터 서교 로비 ,서울생활문화센터-서교,시민 누구나,,,,,https://seogyocenter.or.kr/programall/?idx=336,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=91de7d5a9898455fb1e17909aaa835d7&thumb=Y,2023.6.21,기관,2023.6.6 0:00,2023.7.12 0:00,기타,37.55080217,126.9167159,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142088&menuNo=200009
전시/미술,종로구,[2023 운현궁 기획전시] 오늘도 안녕,2023-06-06~2023-06-11,운현궁 기획전시실,운현궁,관람객 자유관람(전체 관람가),,,,,https://www.unhyeongung.or.kr/sub/prpgram/total_list.php?sno=0&group=basic&code=B35&category=&&abmode=view&no=1153&bsort=&bfsort=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ffd2b308a9d24c1cb192ebe756b23a68&thumb=Y,2023.6.5,기관,2023.6.6 0:00,2023.6.11 0:00,기타,37.576125,126.98705,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141894&menuNo=200009
