분류,행사명,시작일,종료일,장소,가장 가까운 역,거리(미터)
콘서트,마포아트센터 M 레트로 시리즈 2024 신년맞이 어떤가요 #7,2024.1.18 0:00,2024.1.18 0:00,마포아트센터 아트홀 맥 ,서강대역,927.9485014860999
콘서트,딕펑스×두번째달_Spice of life,2023.12.23 0:00,2023.12.23 0:00,꿈의숲 퍼포먼스홀,광운대역,1599.310586286685
전시/미술,서울일러스트레이션페어V.16,2023.12.21 0:00,2023.12.24 0:00,코엑스 B&D1홀,선릉역,1259.1279111531608
콘서트,2023 마포아트센터 송년콘서트 [나윤선 ANOTHER CHRISTMAS],2023.12.20 0:00,2023.12.20 0:00,마포아트센터 아트홀 맥트 ,서강대역,927.9485014860999
무용,2023 M 송년시리즈 발레 [호두까기 인형],2023.12.15 0:00,2023.12.17 0:00,마포아트센터 아트홀맥,서강대역,927.9485014860999
클래식,"[서울시합창단 제 167회 정기연주회] 헨델, 오라토리오 메시아",2023.12.14 0:00,2023.12.15 0:00,세종체임버홀,서울역(경의선),2044.0443473650962
콘서트,"[2023 카즈미 타테이시 트리오 내한공연] 크리스마스, 재즈를 만나다",2023.12.10 0:00,2023.12.10 0:00,마포아트센터 아트홀 맥,서강대역,927.9485014860999
콘서트,[서울마포음악창작소] 2023 M 인디열전 ♪ EXTENSION 공연,2023.12.8 0:00,2023.12.9 0:00,마포아트센터 아트홀맥,서울역(경의선),1168.8694865622608
국악,[너나나시리즈] 국악뮤지컬 제비씨의 크리스마스,2023.12.8 0:00,2023.12.9 0:00,금나래아트홀,금천구청역,170.13877233869096
전시/미술,서울시립미술관 [우리가 모여 산을 이루는 이야기],2023.12.7 0:00,2024.3.3 0:00,서울시립미술관 서소문본관 3층,서울역(경의선),1075.546389925713
국악,2023 믹스드 오케스트라 Ⅱ [소리의 색채],2023.12.7 0:00,2023.12.7 0:00,세종대극장,서울역(경의선),2044.0443473650962
축제-기타,[M클래식 축제] 마포공연예술관광페스티벌 [타케자와 유토 피아노 리사이틀],2023.12.7 0:00,2023.12.7 0:00,마포아트센터 아트홀 맥,서강대역,927.9485014860999
축제-기타,[M클래식 축제] 마포공연예술관광페스티벌 킷 암스트롱 피아노 리사이틀,2023.12.6 0:00,2023.12.6 0:00,마포아트센터 아트홀맥,서강대역,927.9485014860999
클래식, M 아티스트 2023 김도현 피아노 리사이틀 II,2023.12.5 0:00,2023.12.5 0:00,마포아트센터 아트홀맥,서강대역,927.9485014860999
클래식,선우예권&국립슬로박필하모닉오케스트라,2023.12.2 0:00,2023.12.2 0:00,강동아트센터 대극장 한강,덕소역,6027.376338643684
국악,"2023 국악대학전 내일의 예인 홍솔휘, 이가현가단",2023.11.30 0:00,2023.11.30 0:00,서울돈화문국악당,서울역(경의선),3061.0627891640656
클래식,[서울시립교향악단] 2023 서울시향 얍 판 츠베덴의 베토벤 삼중 협주곡 ①,2023.11.30 0:00,2023.11.30 0:00,롯데콘서트홀,수서역,2919.104646360205
클래식,뮌헨 필하모닉 내한공연,2023.11.29 0:00,2023.11.29 0:00,세종대극장,서울역(경의선),2044.0443473650962
국악,"2023 국악대학전 내일의 예인 윤주연, 신별하",2023.11.29 0:00,2023.11.29 0:00,서울돈화문국악당,서울역(경의선),3061.0627891640656
전시/미술,2023 세종미술관 기획전시 [필묵변혁-송수남 황창배],2023.11.28 0:00,2024.1.14 0:00,"세종미술관 1관,세종미술관 2관",서울역(경의선),2044.0443473650962
클래식,브런치콘서트 [이달의 공연] 11월 클래식과 재즈의 더 배틀,2023.11.28 0:00,2023.11.28 0:00,구로아트밸리 예술극장,구로역,956.6549783335595
국악,"2023 국악대학전 내일의 예인 김은유, 이수흔",2023.11.28 0:00,2023.11.28 0:00,서울돈화문국악당,서울역(경의선),3061.0627891640656
콘서트,[중구문화재단] 월요극장4 - 뷰티풀 데이즈 with V.O.S,2023.11.27 0:00,2023.11.27 0:00,충무아트센터 중극장 블랙,왕십리역,1902.5974567777855
국악,서울돈화문국악당 2023 서울소리:잡가雜歌,2023.11.25 0:00,2023.11.26 0:00,서울돈화문국악당 공연장,서울역(경의선),3061.0627891640656
뮤지컬/오페라,[영등포문화재단] 가족극장 뮤지컬 앤ANNE,2023.11.24 0:00,2023.11.25 0:00,영등포아트홀,영등포역,1331.4734038245458
콘서트,[구로문화재단 팝페라 콘서트] 팝페라 그룹 포엣,2023.11.24 0:00,2023.11.24 0:00,오류아트홀,오류동역,168.8479502765842
클래식,[서울시립교향악단] 2023 서울시향 얍 판 츠베덴의 쇼스타코비치 교향곡 5번 ①,2023.11.23 0:00,2023.11.24 0:00,롯데콘서트홀,수서역,2919.104646360205
콘서트,[강북문화재단] 마티네콘서트 Ⅲ 유니크클래식 with 반도네온 (고상지),2023.11.22 0:00,2023.11.22 0:00,강북진달래홀,창동역,3325.003799746686
클래식,"이고르 레비트, 피아노 리사이틀",2023.11.22 0:00,2023.11.22 0:00,강동아트센터 대극장 한강,덕소역,6027.376338643684
뮤지컬/오페라,뮤지컬 [몬테크리스토],2023.11.21 0:00,2024.2.25 0:00,충무아트센터 대극장,왕십리역,1902.5974567777855
교육/체험,K-컬처 원데이 클래스 With DDP 멤버십,2023.11.18 0:00,2023.11.19 0:00,DDP 디자인랩 3층 매거진 라이브러리 / 디자인 홀,왕십리역,2367.010098044175
콘서트,2023 이병우 기타 콘서트 -  다가오는 심장 소리,2023.11.18 0:00,2023.11.19 0:00,세종문화회관 S씨어터,서울역(경의선),2044.0443473650962
국악,완창여정프로젝트 : 이해원의 심청가 판소리공장 바닥소리,2023.11.18 0:00,2023.11.18 0:00,서울돈화문국악당 공연장,서울역(경의선),3061.0627891640656
클래식,박혜미 피아노 독주회 작곡가 B 시리즈 ,2023.11.18 0:00,2023.11.18 0:00,꿈의숲 아트센터 콘서트홀 ,광운대역,1599.310586286685
클래식,[서울시립교향악단] 2023 서울시향 실내악 시리즈 IV : 관악 앙상블,2023.11.18 0:00,2023.11.18 0:00,세종문화회관 체임버홀,서울역(경의선),2044.0443473650962
클래식, 차이코프스키 동화음악극 [미녀와 야수],2023.11.18 0:00,2023.11.18 0:00,마포아트센터 아트홀 맥,서강대역,927.9485014860999
전시/미술,Stefan SAGMEISTER의 Now is Better(지금이 더 낫다),2023.11.17 0:00,2024.3.3 0:00,동대문디자인플라자(DDP) 잔디사랑방 & 잔디언덕,왕십리역,2367.010098044175
교육/체험,DDP FORUM VOL.37 [Beautiful Numbers],2023.11.17 0:00,2023.11.17 0:00,DDP디자인랩 3층 디자인홀,왕십리역,2367.010098044175
국악,[금천문화재단] 오셀로와 이아고,2023.11.16 0:00,2023.11.17 0:00,금나래아트홀,금천구청역,170.13877233869096
국악,2023 우리소리의 맥(脈)을 찾아서 특별기획 국악공연,2023.11.16 0:00,2023.11.16 0:00,동자아트홀 (서울역 건너편 KDB 건물 지하 2층),서울,356.9777229110207
교육/체험,[서울생활문화센터 서교] 인문학정원 20세기 일본만화사,2023.11.16 0:00,2023.11.16 0:00,서울생활문화센터 서교 스퀘어,홍대입구역,1122.0583289222313
교육/체험,"[온라인특강] 출산휴가, 육아휴직 즉문즉답",2023.11.16 0:00,2023.11.16 0:00,온라인 특강(ZOOM강의),가산디지털단지역,605.7699096873462
콘서트,11월 문화가 흐르는 청계천의 밤,2023.11.15 0:00,2023.11.15 0:00,청계천박물관 3층 강당,왕십리역,1128.0476241635267
뮤지컬/오페라,[서초문화재단] 뮤지컬 나도 해피엔딩을 쓰고 싶어,2023.11.14 0:00,2023.11.25 0:00,서초문화재단 반포심산아트홀,교대역,2095.1772752329834
클래식,[서울시립교향악단] 2023 서울시향  우리동네 음악회(실내악),2023.11.14 0:00,2023.11.14 0:00,강북문화재단 북서울 꿈의숲,창동역,3325.003799746686
교육/체험,[2023년도 플레이업 아카데미 모집] 신체훈련 아카데미 [나에게 맞는 워밍업 루틴 만들기],2023.11.13 0:00,2023.12.1 0:00,서울연극센터,왕십리역,3897.2727374340957
교육/체험,[양천구청] 건강힐링센터 2023년 11월 원데이해빛 원데이 힐링프로그램,2023.11.13 0:00,2023.11.17 0:00,양천구 건강힐링문화관 3층,오류동역,2580.0274324774787
기타,2023 서울식물원 국제심포지엄,2023.11.13 0:00,2023.11.13 0:00,서울식물원 식물문화센터 지하 1층 메인홀,마곡나루,777.3225084008462
교육/체험,[서울시청] 가족 스케이팅 교실,2023.11.11 0:00,2023.11.25 0:00,목동 아이스링크장,신도림역,2649.3777219000017
교육/체험,[서울시립과학관] 11월 가족과 함께하는 바이오랩,2023.11.11 0:00,2023.11.25 0:00,서울시립과학관 3층 1교육실,월계역,1912.5950122440474
교육/체험,[삼각산시민청] 2023년 시민기획단 연계 하반기 프로그램,2023.11.11 0:00,2023.11.18 0:00,"삼각산시민청 1, 2동",방학역,2996.008719216711
전시/미술,[시민청 공간공모 지원사업] 장소기억법,2023.11.11 0:00,2023.11.17 0:00,서울시청 시민청 시민청갤러리,서울역(경의선),1496.9335131662397
교육/체험,[서울역사편찬원] 11월 엄마아빠와 함께하는 교과서 역사기행,2023.11.11 0:00,2023.11.11 0:00,집결장소 : 서울올림픽공원 북2문 주차장 (08:20까지 집결),수서역,4049.9863783843944
콘서트,"[2023 카즈미 타테이시 트리오 내한공연] 지브리, 재즈를 만나다(서울 강동)",2023.11.11 0:00,2023.11.11 0:00,강동아트센터 대극장 한강,덕소역,6027.376338643684
뮤지컬/오페라,[선농단역사문화관] 이원복의 먼나라 이웃나라 영국여행,2023.11.11 0:00,2023.11.11 0:00,선농단역사문화관 오픈세미나실,청량리역,1290.9612088366564
교육/체험,[2023 민주시민 아카데미] 2회차-세상은 묘지 위에 세워져 있다 ,2023.11.11 0:00,2023.11.11 0:00,"김근태기념도서관 2층 '공간,마루'",도봉산역,297.0727377439775
콘서트,[2023 성동문화마당] 소월아트홀에서 떠나는 국내 여행 콘서트,2023.11.11 0:00,2023.11.11 0:00,소월아트홀,왕십리역,205.9810493581917
콘서트,제 20회 위튜티 윈드오케스트라 정기연주회,2023.11.11 0:00,2023.11.11 0:00,광림아트센터 장천홀,압구정로데오역,1328.2923316530528
국악,"[서울돈화문국악당] 길, Tea, Pleasure 월드뮤직그룹 공명",2023.11.11 0:00,2023.11.11 0:00,서울돈화문국악당,서울역(경의선),3061.0627891640656
콘서트,[시민청] 2023 바스락콘서트 11월 공연,2023.11.11 0:00,2023.11.11 0:00,서울시청 시민청 지하2층 바스락홀,서울역(경의선),1496.9335131662397
콘서트,[서울마포음악창작소] 2023 M 인디열전 ♪7 ‘3.14(삼점일사) ,2023.11.11 0:00,2023.10.11 0:00,서울마포음악창작소 라이브홀,서울역(경의선),1168.8694865622608
전시/미술,[서울생활사박물관] 서울 외식 이야기-오늘 뭐 먹지?,2023.11.10 0:00,2024.3.31 0:00,서울생활사박물관 기획전시실,석계역,1141.553071907069
교육/체험,[강동문화재단] 생활문화 프로그램 계간: 생활문화 명상과 요가,2023.11.10 0:00,2023.12.15 0:00,강동아트센터,덕소역,6027.376338643684
전시/미술,서울융합예술페스티벌 [언폴드엑스(Unfold X) 2023: 달로 가는 정거장],2023.11.10 0:00,2023.12.13 0:00,문화역서울284 본관 (서울 중구 통일로 1),서울역(경의선),189.98984902298412
전시/미술,[광진문화재단] 나루의 발견 공존(共存),2023.11.10 0:00,2023.12.9 0:00,나루아트센터 전시실,서울숲역,2360.737961356932
연극,연극 [생일파티],2023.11.10 0:00,2023.11.12 0:00,대학로 이음센터5층 이음아트홀,왕십리역,3672.8352349799366
국악,재래(再來)악 Ⅰ: 종묘,2023.11.10 0:00,2023.11.10 0:00,김희수아트센터SPACE1,청량리역,1150.042308497724
교육/체험,DDP FORUM VOL.36 [Human Optimistic Daring]:The journey and vision of Google Hardware Design,2023.11.10 0:00,2023.11.10 0:00,DDP디자인랩 3층 디자인홀,왕십리역,2367.010098044175
콘서트,[2023 성동문화마당] 미술관으로 떠나는 해외 여행 콘서트,2023.11.10 0:00,2023.11.10 0:00,소월아트홀,왕십리역,205.9810493581917
기타, 마포구립소년소녀합창단 제16회 정기연주회 [평화의 브레멘 음악대],2023.11.10 0:00,2023.11.10 0:00,마포아트센터 아트홀 맥,서강대역,927.9485014860999
연극,2023 서울시 찾아가는 유랑극단 [밥을 먹다],2023.11.10 0:00,2023.11.10 0:00,오류아트홀,오류동역,168.8479502765842
교육/체험,[마포구립서강도서관 11월] 2023년 읽는 인간 호모부커스 Ⅳ [사랑의 기술],2023.11.9 0:00,2023.11.30 0:00,서강도서관 3층 세미나실,서강대역,568.4632211027697
교육/체험,2023 성북 주민아카데미 [영화?드라마 속 역사 이야기],2023.11.9 0:00,2023.11.21 0:00,성북구청 지하1층 다목적홀,청량리역,2808.783381453315
클래식,[서울시립교향악단] 2023 퇴근길 토크 콘서트 Ⅲ : 음악으로 기억되는 영화 ②,2023.11.9 0:00,2023.11.9 0:00,대한성공회 서울주교좌성당,서울역(경의선),1478.3233689018944
클래식,[강남문화재단] 강남심포니오케스트라 160회 클래식품격콘서트 l GREAT CONCERTO SERIES,2023.11.9 0:00,2023.11.9 0:00,광림아트센터 장천홀,압구정로데오역,1328.2923316530528
전시/미술,워너브러더스 100주년 셀러브레이션,2023.11.8 0:00,2024.3.31 0:00,DDP 뮤지엄 전시1관(지하2층),왕십리역,2367.010098044175
전시/미술,DDP 협력전시 [PUSH KEYSTONE: 당신의 정체성을 입력하세요.],2023.11.8 0:00,2023.11.16 0:00,동대문디자인플라자(DDP) 뮤지엄 둘레길A,왕십리역,2367.010098044175
무용,[서초문화재단] 해설이 있는 발레 [호두까기 인형],2023.11.8 0:00,2023.11.8 0:00,반포심산아트홀,교대역,2095.1772752329834
교육/체험,2023 서울유니버설디자인 DAY [UD-DAY],2023.11.8 0:00,2023.11.8 0:00,동대문디자인플라자(DDP) 디자인랩 1층 D-숲,왕십리역,2367.010098044175
무용,해설이 있는 발레 [호두까기 인형],2023.11.8 0:00,2023.11.8 0:00,서초문화재단 반포심산아트홀,교대역,2095.1772752329834
전시/미술,[시민청 공간공모 지원사업] knitting the light,2023.11.7 0:00,2023.11.13 0:00,서울시청 시민프라자B(지하 1층),서울역(경의선),1496.9335131662397
영화,제13회 서울배리어프리영화제,2023.11.7 0:00,2023.11.11 0:00,한국영상자료원 시네마테크KOFA,수색역,511.97710587173503
클래식,"Piano Dynamism_김종윤, 양윤희, 김기경",2023.11.7 0:00,2023.11.7 0:00,서초문화재단 반포심산아트홀,교대역,2095.1772752329834
클래식,서울시여성콘서트합창단 제6회 정기연주회,2023.11.7 0:00,2023.11.7 0:00,M시어터,서울역(경의선),2044.0443473650962
클래식,[서울시립교향악단] 2023 퇴근길 토크 콘서트 Ⅲ : 음악으로 기억되는 영화 ①,2023.11.7 0:00,2023.11.7 0:00,정동제일교회,서울역(경의선),1173.403031281984
클래식,[마포문화재단] 2023 방방곡곡 문화공감사업 [모던가곡] #6. 첫사랑,2023.11.7 0:00,2023.11.7 0:00,마포아트센터 플레이 맥,서강대역,927.9485014860999
전시/미술,[시민청 공간공모 지원사업] 드로잉 사진 - 신청곡,2023.11.6 0:00,2023.11.11 0:00,서울시청 시민청 시민플라자A (지하 1층),서울역(경의선),1496.9335131662397
클래식,"Piano Dynamism_정다현, 박진우, 이정은, 신민철",2023.11.6 0:00,2023.11.6 0:00,서초문화재단 반포심산아트홀,교대역,2095.1772752329834
콘서트,"[2023 카즈미 타테이시 트리오 내한공연] 지브리, 재즈를 만나다(서울 강남)",2023.11.6 0:00,2023.11.6 0:00,광림아트센터 장천홀,압구정로데오역,1328.2923316530528
교육/체험,[서울시립과학관] 청소년 과학교육 프로그램 Science trip,2023.11.5 0:00,2023.11.26 0:00,서울시립과학관 교육실,월계역,1912.5950122440474
클래식,사운드 아카이브 : 디 오케스트라,2023.11.5 0:00,2023.11.5 0:00,세종대극장,서울역(경의선),2044.0443473650962
교육/체험,서울시립 미술아카이브 [인사이드 박스],2023.11.4 0:00,2023.12.23 0:00,서울시립 미술아카이브 배움동,서울역(경의선),5929.664443141884
클래식,2023 한성백제박물관 사계콘서트 [겨울],2023.11.4 0:00,2023.12.16 0:00,한성백제박물관 한성백제홀,수서역,3568.713881815745
클래식,차이콥스키 & 피아졸라의 [사계],2023.11.4 0:00,2023.11.25 0:00,STUDIO301 서울숲,서울숲역,554.8519959025629
교육/체험,[서울공예박물관] 소장품 연계 프로그램 장인의 보물상자 (화각공예),2023.11.4 0:00,2023.11.18 0:00,서울공예박물관 교육동 4층 교육실,서울역(경의선),2685.380125352739
연극,연극 [서교동에서 죽다],2023.11.4 0:00,2023.11.5 0:00,"꿈빛극장 (서울 성북구 길음로 7길 20, 서울성북미디어문화마루 4층)",청량리역,3354.189752046265
클래식,신상일 피아노 독주회,2023.11.4 0:00,2023.11.4 0:00,세종체임버홀,서울역(경의선),2044.0443473650962
클래식,"제4회 박물관 토요음악회 [명연주가, 마에스트리]",2023.11.4 0:00,2023.11.4 0:00,서울역사박물관 1층 로비,서울역(경의선),1716.058726854392
클래식,소리챔버 오케스트라 제 10회 정기 연주회,2023.11.4 0:00,2023.11.4 0:00,꿈의숲 콘서트홀,광운대역,1599.310586286685
축제-문화/예술,2023 매헌시민의숲 가을축제 안내,2023.11.4 0:00,2023.11.4 0:00,매헌시민의숲 메타세쿼이아숲,구룡역,2519.822079977782
국악,[양천문화원] 2023 전통예술제,2023.11.4 0:00,2023.11.4 0:00,파리공원(서울 양천구 목동동로 363),신도림역,3105.227373221247
뮤지컬/오페라,[광진문화재단] 행복한 연극 내 엄마 수연씨,2023.11.4 0:00,2023.11.4 0:00,나루아트센터 대공연장,서울숲역,2360.737961356932
콘서트,"2023 최진희 콘서트 [40주년, 지금]",2023.11.4 0:00,2023.11.4 0:00,세종대극장,서울역(경의선),2044.0443473650962
교육/체험,[서울문화재단] 서울라이브 B-side ♬인디음악 셀프 브랜딩 워크숍,2023.11.3 0:00,2023.11.29 0:00,서울예술실험센터,홍대입구역,743.8178236969446
축제-문화/예술,[금천문화재단] 제3회 금천패션영화제,2023.11.3 0:00,2023.11.6 0:00,"롯데시네마 가산디지털점, 마리오아울렛 물류센터",금천구청역,208.34317531692156
전시/미술,제 15회 언리미티드 에디션 - 서울아트북페어 2023,2023.11.3 0:00,2023.11.5 0:00,"서울시립 북서울미술관 1, 2층",월계역,1097.3477066328646
전시/미술,2023 난지미술창작스튜디오 오픈스튜디오 [그 후에도 Ever After],2023.11.3 0:00,2023.11.5 0:00,서울시립 난지미술창작스튜디오,수색역,1983.7132675500347
연극,[구로꿈나무인형극제] 하이브리드 신체극 계단의 아이,2023.11.3 0:00,2023.11.4 0:00,구로 꿈나무극장,가산디지털단지역,945.9177934829845
무용,2023 서울문화재단 예술창작활동지원선정작 온앤오프무용단 [안개],2023.11.3 0:00,2023.11.4 0:00,영등포아트홀,영등포역,1331.4734038245458
교육/체험,2023 [운현궁 아트페어],2023.11.3 0:00,2023.11.4 0:00,운현궁 일원,서울역(경의선),2779.097895779698
축제-문화/예술,"[종로문화재단] 2023 창신마을축제 하늘아래 1번지, 창신동",2023.11.3 0:00,2023.11.4 0:00,창신소통공작소 및 산마루놀이터,왕십리역,2638.039800393919
국악,[금천문화재단] 음악극 고고와 도도,2023.11.3 0:00,2023.11.4 0:00,금나래아트홀,금천구청역,170.13877233869096
클래식,신음악회 제46회 정기작품발표회 [이ㅅ음 III],2023.11.3 0:00,2023.11.3 0:00,세종체임버홀,서울역(경의선),2044.0443473650962
교육/체험,[11월/Epi X 마포구립서강도서관] 새와 더불어 마주하고 긴장하며 함께하기,2023.11.3 0:00,2023.11.3 0:00,마포구립서강도서관 4층 어린이자료실,서강대역,568.4632211027697
콘서트,[서울마포음악창작소] 2023 M 인디열전 ♪6 ‘DUSKY80X솜다’ 공연,2023.11.3 0:00,2023.11.3 0:00,서울마포음악창작소 라이브홀,서울역(경의선),1168.8694865622608
전시/미술,[청계천박물관] 북둔도화北屯桃花: 성북천을 거닐다,2023.11.2 0:00,2024.3.10 0:00,청계천박물관 기획전시실,왕십리역,1128.0476241635267
교육/체험,[서울시립 미술아카이브] 미술아카데미,2023.11.2 0:00,2023.12.23 0:00,"서울시립 미술아카이브 배움동 1층, 나눔동 2층",서울역(경의선),5929.664443141884
교육/체험,"[11월 마포구립서강도서관/어린이메이킹] 해봄아 노올자!, 해봄맘껏Time",2023.11.2 0:00,2023.11.30 0:00,서강도서관 4층 어린이자료실 내 해봄,서강대역,568.4632211027697
영화,[서울우리소리박물관] 우리소리 노래교실 [덩기덕 쿵덕],2023.11.2 0:00,2023.11.24 0:00,서울우리소리박물관 교육실,서울역(경의선),2997.4571743932956
교육/체험,"[서울공예박물관] 가을. 나무의 온도, 우드카빙 버터나이프",2023.11.2 0:00,2023.11.10 0:00,서울공예박물관 전시3동 1층,서울역(경의선),2685.380125352739
무용,엘리자베스 기덕,2023.11.2 0:00,2023.11.5 0:00,세종M씨어터,서울역(경의선),2044.0443473650962
국악,2023 무풍,2023.11.2 0:00,2023.11.5 0:00,꿈의숲 퍼포먼스홀,광운대역,1599.310586286685
연극,2023 노원어린이극장 기획공연 [하얀나라],2023.11.2 0:00,2023.11.4 0:00,노원어린이극장,창동역,1418.174591518842
클래식,[제5회 꿈의 오케스트라] 중구 정기연주회 ,2023.11.2 0:00,2023.11.2 0:00,충무아트센터 대극장,왕십리역,1902.5974567777855
기타,제14회 정기연주회 마포구립합창단 제14회 정기연주회,2023.11.2 0:00,2023.11.2 0:00,마포아트센터 아트홀 맥,서강대역,927.9485014860999
뮤지컬/오페라,2023 라벨라 그랜드 오페라 갈라 콘서트,2023.11.2 0:00,2023.11.2 0:00,세종대극장,서울역(경의선),2044.0443473650962
교육/체험,[구립증산정보도서관] 마음을 물들이는 붓펜캘리그라피,2023.11.2 0:00,2023.11.2 0:00,4층 문화강좌실,디지털미디어시티역,822.2810692982113
클래식,Joyful Sinners와 함께하는 가을향기 XII,2023.11.2 0:00,2023.11.2 0:00,세종체임버홀,서울역(경의선),2044.0443473650962
콘서트,[서울시립교향악단] 2023 서울시향  우리동네 음악회(관현악) ,2023.11.2 0:00,2023.11.2 0:00,연세대학교 백주년기념관,신촌역,712.855585951712
교육/체험,SBS D 포럼(SDF) 2023,2023.11.2 0:00,2023.11.2 0:00,DDP 아트홀 1관,왕십리역,2367.010098044175
콘서트,[시민청] 서울스테이지11_Beautiful day 공연,2023.11.2 0:00,2023.11.2 0:00,서울시청 시민청 B1 활짝라운지,서울역(경의선),1496.9335131662397
기타,[서울애니메이션센터] 도심 속 문화체험공간! 만화도서관& 애니소풍,2023.11.1 0:00,2023.11.30 0:00,"서울애니메이션센터 1, 2층",서울역(경의선),1247.8849087599187
교육/체험,[마포구립서강도서관 11월 행사] 문화프로그램 안내,2023.11.1 0:00,2023.11.30 0:00,마포구립서강도서관,서강대역,568.4632211027697
전시/미술,제2회 노원구 민간기록물 수집 공모 전시회 [노원기억],2023.11.1 0:00,2023.11.30 0:00,상계예술마당 1층 전시실 / 삼육대학교박물관 기획전시실,창동역,1845.1917783937445
교육/체험,[중랑문화재단] 옹기테마체험관 11월 프로그램,2023.11.1 0:00,2023.11.28 0:00,옹기테마체험관,신내역,1300.0934839607748
콘서트,문화가 흐르는 예술마당 11월 공연,2023.11.1 0:00,2023.11.25 0:00,"광화문광장 놀이마당, 노들섬 잔디마당, 노들섬 라이브하우스",서울역(경의선),1963.461899623945
교육/체험,[돈의문박물관마을] 2023 돈의문야학당 프로그램 참여자 모집(11월),2023.11.1 0:00,2023.11.15 0:00,상세정보 참조,서울역(경의선),1581.7037616374016
축제-문화/예술,2023 은평 문화예술교육 주간,2023.11.1 0:00,2023.11.10 0:00,"은평문화예술회관, 구립증산정보도서관, 고려대 문화예술교육원",디지털미디어시티역,3793.353199199758
국악,"[종로문화재단] K 국악, 판소리가 좋다",2023.11.1 0:00,2023.11.4 0:00,우리소리도서관 국악누리방,서울역(경의선),2787.4766489215453
클래식,[강남문화재단] 강남심포니오케스트라 제100회 정기연주회,2023.11.1 0:00,2023.11.1 0:00,롯데콘서트홀,수서역,2919.104646360205
교육/체험,서울시민관광 아카데미 [관광업 특강 9회차] 데이터 기반의 관광산업 트렌드 이해와 활용,2023.11.1 0:00,2023.11.1 0:00,서울관광플라자 4층 다목적홀,서울역(경의선),2115.552780317116
클래식,"[강동문화재단] 마티네 콘서트 낭만드림 11월, Romantic Orchestra",2023.11.1 0:00,2023.11.1 0:00,대극장 한강,덕소역,6027.376338643684
기타,제10회 이데일리 문화대상,2023.11.1 0:00,2023.11.1 0:00,세종대극장,서울역(경의선),2044.0443473650962
클래식,마나소누스 앙상블 제12회 정기연주회,2023.11.1 0:00,2023.11.1 0:00,세종체임버홀,서울역(경의선),2044.0443473650962
전시/미술,"[서울상상나라] 우리, 캠핑 가요!",2023.10.31 0:00,2024.12.31 0:00,서울상상나라 3층 문화놀이,서울숲역,2998.9004466115066
무용,대학로극장쿼드 제작 황수현 [Zzz],2023.10.31 0:00,2023.11.12 0:00,서울문화재단 대학로극장 쿼드,왕십리역,3761.3347035053994
전시/미술,"[2023 운현궁 기획전시] 그때, 거기, 서(書)",2023.10.31 0:00,2023.11.5 0:00,운현궁 기획전시실,서울역(경의선),2779.097895779698
클래식,브런치콘서트 [이달의 공연] 10월 웃음 가득 뮤지컬 갈라,2023.10.31 0:00,2023.10.31 0:00,구로아트밸리 예술극장,구로역,956.6549783335595
독주/독창회,김상헌 피아노 독주회,2023.10.31 0:00,2023.10.31 0:00,세종체임버홀,서울역(경의선),2044.0443473650962
뮤지컬/오페라,뮤지컬의 탄생과 황금기를 노래하다!,2023.10.31 0:00,2023.10.31 0:00,꿈의숲 콘서트홀,광운대역,1599.310586286685
클래식,[파사지오 앙상블 정기연주회] 위로,2023.10.30 0:00,2023.10.30 0:00,세종체임버홀,서울역(경의선),2044.0443473650962
국악,남산골가무악국악한마당,2023.10.30 0:00,2023.10.30 0:00,충무아트센터 대극장 ,왕십리역,1902.5974567777855
교육/체험,[서울공예박물관] 2023 SeMoCA 공예강좌(10월)_일곱 번째,2023.10.30 0:00,2023.10.30 0:00,서울공예박물관 교육동(어린이박물관) 강당,홍대입구역,1122.0583289222313
교육/체험,2023 서울책보고 금요북클럽(11월),2023.10.29 0:00,2023.11.24 0:00, 서울책보고,수서역,3868.5912394940333
뮤지컬/오페라,제5회 브라보오페라앙상블 정기공연,2023.10.29 0:00,2023.10.29 0:00,세종M씨어터,서울역(경의선),2044.0443473650962
교육/체험,"2023 아츠포틴즈 틴즈를 응원해2 [맛있는 예술, 달콤한 아츠포틴즈]",2023.10.29 0:00,2023.10.29 0:00,서울예술교육센터 : 서울시 용산구 서빙고로 17 용산센트럴파크 해링턴스퀘어 공공시설동 5~6층 스튜디오,용산역,367.5230917228921
교육/체험,[10월29일 책읽는 서울광장 강연안내] 아이와 함께 자라는 중입니다,2023.10.29 0:00,2023.10.29 0:00,책읽는 서울광장 무대,서울역(경의선),1328.8356944076395
교육/체험,[서울아트책보고] WEEK4 손맛을 담은 스탬프100 노트 바인딩,2023.10.29 0:00,2023.10.29 0:00,서울아트책보고 해보고 워크숍룸,구일역,309.12420748149606
교육/체험,[서울시립과학관] 천체사진가 권오철 작품-우유니 소금사막의 별이 내리는 밤,2023.10.28 0:00,2023.12.31 0:00,서울시립과학관 3D스페이스 (2층 B전시실),월계역,1912.5950122440474
기타,[서강도서관 10월/팟캐스트] 서강도서관 피셜 39회 믿습니까? 믿습니다!,2023.10.28 0:00,2023.11.30 0:00,팟빵(온라인),서강대역,568.4632211027697
교육/체험,2023 낙원 속 생활문화 클래스 [낙원 악기 원데이 클래스],2023.10.28 0:00,2023.11.25 0:00,"서울생활문화센터 낙원 연습실(대), 강의실",서울역(경의선),2510.853927218742
