rowNum,selectedCount,totalCount,subwayId,updnLine,trainLineNm,statnFid,statnTid,statnId,statnNm,trnsitCo,ordkey,subwayList,statnList,btrainSttus,barvlDt,btrainNo,bstatnId,bstatnNm,recptnDt,arvlMsg2,arvlMsg3,arvlCd
2394,2968,2968,1002,내선,신도림행 - 대림방면,1002000231,1002000233,1002000232,구로디지털단지,1,12002신도림0,1002,1002000232,일반,307,4164,88,신도림,2023-11-21 10:36:20,5분 7초 후,신림,99
2416,2968,2968,1063,하행,용문행 - 청량리방면,1063075115,1063075117,1063075116,왕십리,4,12002용문0,"1002,1005,1063,1075","1002000208,1005000540,1063075116,1075075210",일반,0,5051,198,용문,2023-11-21 10:32:53,[2]번째 전역 (옥수),옥수,99
2422,2968,2968,1001,하행,인천행 - 동묘앞방면,1001000125,1001000127,1001000126,신설동,2,12002인천0,"1001,1002,1092","1001000126,1002002114,1092004713",일반,216,0081,75,인천,2023-11-21 10:36:22,3분 36초 후 (청량리),청량리,99
2436,2968,2968,1005,하행,마천행 - 영등포시장방면,1005000522,1005000524,1005000523,영등포구청,2,12003마천0,"1002,1005","1002000236,1005000523",일반,300,5587,65,마천,2023-11-21 10:36:15,5분 후 (목동),목동,99
2452,2968,2968,1007,하행,석남행 - 뚝섬유원지방면,1007000726,1007000728,1007000727,건대입구,2,12003석남0,"1002,1007","1002000212,1007000727",일반,300,7151,42,석남,2023-11-21 10:36:08,5분 후 (중곡),중곡,99
2453,2968,2968,1002,내선,성수행 - 종합운동장방면,1002000216,1002000218,1002000217,잠실새내,1,12003성수0,1002,1002000217,일반,324,3178,24,성수,2023-11-21 10:36:20,5분 24초 후,강변,99
2454,2968,2968,1002,내선,성수행 - 동대문역사문화공원방면,1002000203,1002000205,1002000204,을지로4가,2,12003성수0,"1002,1005","1002000204,1005000535",일반,296,2148,88,성수,2023-11-21 10:36:20,4분 56초 후,시청,99
2455,2968,2968,1002,내선,성수행 - 을지로입구방면,1002000243,1002000202,1002000201,시청,2,12003성수0,"1001,1002","1001000132,1002000201",일반,250,3150,88,성수,2023-11-21 10:36:20,4분 10초 후,이대,99
2456,2968,2968,1002,내선,성수행 - 충정로방면,1002000241,1002000243,1002000242,아현,1,12003성수0,1002,1002000242,일반,348,3154,88,성수,2023-11-21 10:36:20,5분 48초 후,홍대입구,99
2457,2968,2968,1002,내선,성수행 - 신촌방면,1002000238,1002000240,1002000239,홍대입구,3,12003성수0,"1002,1063,1065","1002000239,1063075314,1065006503",일반,359,2156,88,성수,2023-11-21 10:36:20,5분 59초 후,영등포구청,99
2458,2968,2968,1002,내선,성수행 - 문래방면,1002000233,1002000235,1002000234,신도림,2,12003성수0,"1001,1002","1001000140,1002000234",일반,417,2162,88,성수,2023-11-21 10:36:20,6분 57초 후,신대방,99
2459,2968,2968,1002,내선,성수행 - 구로디지털단지방면,1002000230,1002000232,1002000231,신대방,1,12003성수0,1002,1002000231,일반,330,3166,24,성수,2023-11-21 10:36:20,5분 30초 후,서울대입구,99
2460,2968,2968,1002,내선,성수행 - 신림방면,1002000228,1002000230,1002000229,봉천,1,12003성수0,1002,1002000229,일반,340,2168,88,성수,2023-11-21 10:36:20,5분 40초 후,사당,99
2461,2968,2968,1002,내선,성수행 - 서울대입구방면,1002000226,1002000228,1002000227,낙성대,1,12003성수0,1002,1002000227,일반,370,3170,88,성수,2023-11-21 10:36:20,6분 10초 후,서초,99
2462,2968,2968,1002,내선,성수행 - 잠실새내방면,1002000215,1002000217,1002000216,잠실,2,12003성수0,"1002,1008","1002000216,1008000814",일반,386,3180,88,성수,2023-11-21 10:36:20,6분 26초 후,구의,99
2463,2968,2968,1002,내선,성수행 - 잠실나루방면,1002000213,1002000215,1002000214,강변,1,12003성수0,1002,1002000214,일반,10,6130,88,성수,2023-11-21 10:36:20,10초 후,성수,99
2464,2968,2968,1003,하행,수서행 - 남부터미널방면,1003000339,1003000341,1003000340,교대,2,12003수서0,"1002,1003","1002000223,1003000340",일반,414,3125,36,수서,2023-11-21 10:36:22,6분 54초 후 (신사),신사,99
2467,2968,2968,1002,내선,신도림행 - 선릉방면,1002000218,1002000220,1002000219,삼성,1,12003신도림0,1002,1002000219,일반,258,4176,88,신도림,2023-11-21 10:36:20,4분 18초 후,잠실,99
2468,2968,2968,1002,내선,신도림행 - 신도림방면,1002000232,1002000234,1002000233,대림,2,12003신도림0,"1002,1007","1002000233,1007000744",일반,429,4164,88,신도림,2023-11-21 10:36:20,7분 9초 후,신림,99
2481,2968,2968,1003,하행,오금행 - 충무로방면,1003000329,1003000331,1003000330,을지로3가,2,12003오금0,"1002,1003","1002000203,1003000330",일반,391,3131,36,오금,2023-11-21 10:36:23,6분 31초 후 (경복궁),경복궁,99
